year,total_emissions
1960,21404.279
1961,26024.699
1962,22995.757
1963,22783.071
1964,22394.369
1965,24689.911
1966,23395.46
1967,24561.566
1968,27586.841
1969,33391.702
1970,35822.923
1971,38987.544
1972,43340.273
1973,49134.133
1974,51260.993
1975,53963.572
1976,61810.952
1977,82434.16
1978,93933.872
1979,95096.311
1980,94784.616
1981,100160.438
1982,105407.915
1983,104956.874
1984,112184.531
1985,121245.688
1986,121740.733
1987,123372.548
1988,132162.347
1989,130966.905
1990,148530.0
1991,162400.0
1992,171510.0
1993,185090.0
1994,199180.0
1995,223680.0
1996,236720.0
1997,261160.0
1998,262700.0
1999,279480.0
2000,280650.0
2001,302060.0
2002,305640.014648438
2003,333890.014648438
2004,341239.990234375
2005,342149.993896484
2006,364470.001220703
2007,379959.991455078
2008,376140.014648438
2009,391079.986572266
2010,415519.989013672
2011,475309.997558594
2012,481510.009765625
2013,447940.002441406
2014,483910.003662109
2015,488549.987792969
2016,482510.009765625
2017,517320.007324219
2018,576989.990234375
2019,619840.026855469
